,owner,owner_type
0,mrdoob,User
1,libgdx,Organization
2,pmndrs,Organization
3,BabylonJS,Organization
4,aframevr,Organization
5,ssloy,User
6,lettier,User
7,FreeCAD,Organization
8,metafizzy,Organization
9,CesiumGS,Organization
10,timzhang642,User
11,a1studmuffin,User
12,isl-org,Organization
13,blender,Organization
14,domlysz,User
15,spritejs,Organization
16,openscad,Organization
17,tensorspace-team,Organization
18,jagenjo,User
19,YadiraF,User
20,AaronJackson,User
21,google,Organization
22,ssloy,User
23,mosra,User
24,FyroxEngine,Organization
25,gfxfundamentals,Organization
26,tengbao,User
27,cleardusk,User
28,jasonlong,User
29,cnr-isti-vclab,Organization
30,antvis,Organization
31,vasturiano,User
32,AlmasB,User
33,tinyobjloader,Organization
34,armory3d,Organization
35,pissang,User
36,huxingyi,User
37,Kavex,User
38,armory3d,Organization
39,veloren,Organization
40,jeeliz,Organization
41,ssloy,User
42,troisjs,Organization
43,cleardusk,User
44,google-research-datasets,Organization
45,layabox,User
46,zauonlok,User
47,whxaxes,User
48,lgsvl,Organization
49,ekzhang,User
50,dotnet,Organization
51,skywind3000,User
52,tentone,User
53,ssloy,User
54,syt123450,User
55,TheMozg,User
56,CadQuery,Organization
57,gildor2,User
58,facebookresearch,Organization
59,agmmnn,User
60,PyMesh,Organization
61,laboshinl,User
62,charlesq34,User
63,recp,User
64,strasdat,User
65,pmndrs,Organization
66,martinlaxenaire,User
67,helix-toolkit,Organization
68,dragonir,User
69,nywang16,User
70,ranahanocka,User
71,pyvista,Organization
72,pioneerspacesim,Organization
73,marcomusy,User
74,heremaps,Organization
75,daavoo,User
76,elliottwu,User
77,YadiraF,User
78,JannisX11,User
79,xeolabs,User
80,curv3d,Organization
81,alibaba,Organization
82,vasturiano,User
83,fogleman,User
84,godlikepanos,User
85,jkuhlmann,User
86,artivis,User
87,aurora-opensource,Organization
88,ashtuchkin,User
89,tpaviot,User
90,captainwz,User
91,BabylonJS,Organization
92,florent37,User
93,swift502,User
94,OSMBuildings,Organization
95,openlayers,Organization
96,john-chapman,User
97,zyyoona7,User
98,astorfi,User
